,pct_max_score,learner_model,interactive,psiturk_log_uuid,level_number
2965,35.294117647058826,neural,False,,3
2966,100.0,human,True,,4
2967,100.0,neural,False,,4
2968,100.0,human,True,,5
2969,100.0,neural,False,,5
2970,6.666666666666668,human,True,,6
2971,100.0,neural,False,,6
2972,100.0,human,True,,7
2973,100.0,neural,False,,7
2974,50.0,human,True,,8
2975,58.333333333333336,neural,False,,8
2976,74.07407407407408,human,True,,9
2977,74.07407407407408,neural,False,,9
2978,100.0,human,True,,10
2979,100.0,neural,False,,10
2980,43.75,literal,False,,1
2981,100.0,pragmatic,False,,1
2982,-93.75,literal,False,,2
2983,-56.25,pragmatic,False,,2
2984,-11.76470588235294,literal,False,,3
2985,35.294117647058826,pragmatic,False,,3
2986,100.0,literal,False,,4
2987,100.0,pragmatic,False,,4
2988,72.0,literal,False,,5
2989,100.0,pragmatic,False,,5
2990,26.666666666666668,literal,False,,6
2991,26.666666666666668,pragmatic,False,,6
2992,-107.14285714285714,literal,False,,7
2993,100.0,pragmatic,False,,7
2994,-41.66666666666667,literal,False,,8
2995,66.66666666666666,pragmatic,False,,8
2996,74.07407407407408,literal,False,,9
2997,77.77777777777779,pragmatic,False,,9
2998,100.0,literal,False,,10
2999,55.00000000000001,pragmatic,False,,10
3000,31.25,literal,False,,1
3001,-62.5,pragmatic,False,,1
3002,0.0,literal,False,,2
3003,100.0,pragmatic,False,,2
3004,76.47058823529412,literal,False,,3
3005,100.0,pragmatic,False,,3
3006,100.0,literal,False,,4
3007,100.0,pragmatic,False,,4
3008,80.0,literal,False,,5
3009,72.0,pragmatic,False,,5
3010,40.0,literal,False,,6
3011,100.0,pragmatic,False,,6
3012,100.0,literal,False,,7
3013,92.85714285714286,pragmatic,False,,7
3014,100.0,literal,False,,8
3015,66.66666666666666,pragmatic,False,,8
3016,100.0,literal,False,,9
3017,100.0,pragmatic,False,,9
3018,100.0,literal,False,,10
3019,100.0,pragmatic,False,,10
3020,-112.5,literal,False,,1
3021,-112.5,pragmatic,False,,1
3022,25.0,literal,False,,2
3023,0.0,pragmatic,False,,2
3024,35.294117647058826,literal,False,,3
3025,35.294117647058826,pragmatic,False,,3
3026,100.0,literal,False,,4
3027,-62.5,pragmatic,False,,4
3028,72.0,literal,False,,5
3029,48.0,pragmatic,False,,5
3030,-20.0,literal,False,,6
3031,26.666666666666668,pragmatic,False,,6
3032,-121.42857142857142,literal,False,,7
3033,0.0,pragmatic,False,,7
3034,0.0,literal,False,,8
3035,25.0,pragmatic,False,,8
3036,-22.22222222222222,literal,False,,9
3037,74.07407407407408,pragmatic,False,,9
3038,100.0,literal,False,,10
3039,100.0,pragmatic,False,,10
3040,-31.25,literal,False,,1
3041,37.5,pragmatic,False,,1
